id,text
"les Escaldes,Andorra,Escaldes-Engordany","les Escaldes,Andorra,Escaldes-Engordany"
"Andorra la Vella,Andorra,Andorra la Vella","Andorra la Vella,Andorra,Andorra la Vella"
"Umm al Qaywayn,United Arab Emirates,Umm al Qaywayn","Umm al Qaywayn,United Arab Emirates,Umm al Qaywayn"
"Ras al-Khaimah,United Arab Emirates,Raʼs al Khaymah","Ras al-Khaimah,United Arab Emirates,Raʼs al Khaymah"
"Khawr Fakkān,United Arab Emirates,Ash Shāriqah","Khawr Fakkān,United Arab Emirates,Ash Shāriqah"
"Dubai,United Arab Emirates,Dubai","Dubai,United Arab Emirates,Dubai"
"Dibba Al-Fujairah,United Arab Emirates,Al Fujayrah","Dibba Al-Fujairah,United Arab Emirates,Al Fujayrah"
"Dibba Al-Hisn,United Arab Emirates,Al Fujayrah","Dibba Al-Hisn,United Arab Emirates,Al Fujayrah"
"Sharjah,United Arab Emirates,Ash Shāriqah","Sharjah,United Arab Emirates,Ash Shāriqah"
"Ar Ruways,United Arab Emirates,Abu Dhabi","Ar Ruways,United Arab Emirates,Abu Dhabi"
"Al Fujayrah,United Arab Emirates,Al Fujayrah","Al Fujayrah,United Arab Emirates,Al Fujayrah"
"Al Ain,United Arab Emirates,Abu Dhabi","Al Ain,United Arab Emirates,Abu Dhabi"
"Ajman,United Arab Emirates,Ajman","Ajman,United Arab Emirates,Ajman"
"Adh Dhayd,United Arab Emirates,Ash Shāriqah","Adh Dhayd,United Arab Emirates,Ash Shāriqah"
"Abu Dhabi,United Arab Emirates,Abu Dhabi","Abu Dhabi,United Arab Emirates,Abu Dhabi"
"Zaranj,Afghanistan,Nīmrūz","Zaranj,Afghanistan,Nīmrūz"
"Taloqan,Afghanistan,Takhār","Taloqan,Afghanistan,Takhār"
"Shīnḏanḏ,Afghanistan,Herat","Shīnḏanḏ,Afghanistan,Herat"
"Shibirghān,Afghanistan,Jowzjān","Shibirghān,Afghanistan,Jowzjān"
"Shahrak,Afghanistan,Ghowr","Shahrak,Afghanistan,Ghowr"
"Sar-e Pul,Afghanistan,Sar-e Pol","Sar-e Pul,Afghanistan,Sar-e Pol"
"Sang-e Chārak,Afghanistan,Sar-e Pol","Sang-e Chārak,Afghanistan,Sar-e Pol"
"Aībak,Afghanistan,Samangān","Aībak,Afghanistan,Samangān"
"Rustāq,Afghanistan,Takhār","Rustāq,Afghanistan,Takhār"
"Qarqīn,Afghanistan,Jowzjān","Qarqīn,Afghanistan,Jowzjān"
"Qarāwul,Afghanistan,Kunduz","Qarāwul,Afghanistan,Kunduz"
"Pul-e Khumrī,Afghanistan,Wilāyat-e Baghlān","Pul-e Khumrī,Afghanistan,Wilāyat-e Baghlān"
"Paghmān,Afghanistan,Kabul","Paghmān,Afghanistan,Kabul"
"Nahrīn,Afghanistan,Wilāyat-e Baghlān","Nahrīn,Afghanistan,Wilāyat-e Baghlān"
"Maymana,Afghanistan,Faryab","Maymana,Afghanistan,Faryab"
